"Gene","HUVEC_low1","HUVEC_low2","HUVEC_low3","HUVEC_high1","HUVEC_high2","HUVEC_high3","HUVEC_high4","HUAEC_low1","HUAEC_low2","HUAEC_low3","HUAEC_low4","HUAEC_high1","HUAEC_high2","HUAEC_high3","HUAEC_high4"
"ENSG00000017260.21",17,30,2,24,27,53,15,41,118,145,80,87,21,86,12
"ENSG00000017427.18",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000017483.17",1,10,12,1,11,6,9,6,28,0,20,1,0,1,11
"ENSG00000017797.14",43,45,34,70,31,42,49,39,97,125,58,54,1,59,22
"ENSG00000018189.14",19,1,1,18,1,0,1,0,1,36,11,1,0,2,21
"ENSG00000018280.18",0,0,0,2,1,1,0,0,3,2,0,2,0,0,1
"ENSG00000018408.16",153,92,67,219,180,277,92,392,479,550,462,413,84,554,453
"ENSG00000018510.19",98,84,35,46,47,57,78,74,124,92,120,100,0,74,69
"ENSG00000018610.16",5,7,4,38,25,42,17,37,48,41,41,43,4,41,31
"ENSG00000018699.14",1,6,14,24,6,12,4,10,8,4,1,4,1,4,10
"ENSG00000018869.19",0,1,0,1,0,0,0,0,1,0,1,2,0,0,0
"ENSG00000019102.13",0,0,0,0,0,0,0,0,1,0,0,2,0,1,0
"ENSG00000019144.21",133,32,52,71,115,140,61,38,153,64,63,102,1,50,36
"ENSG00000019485.14",2,3,1,2,2,1,1,1,4,5,1,0,0,0,0
"ENSG00000019549.13",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"ENSG00000019582.18",0,0,0,0,7,4,0,16,26,0,12,16,0,0,4
"ENSG00000019991.18",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000019995.6",2,4,2,4,2,5,0,0,2,12,10,2,1,3,1
"ENSG00000020129.17",1,12,5,15,9,12,6,13,40,36,14,19,15,15,1
"ENSG00000020181.19",10,4,10,4,24,12,12,8,26,10,17,20,1,6,6
"ENSG00000020256.21",9,1,0,30,6,5,10,7,21,27,10,1,0,30,1
"ENSG00000020426.12",23,51,23,38,29,68,9,44,57,94,33,73,5,18,57
"ENSG00000020577.15",15,17,12,31,21,6,19,18,19,50,13,13,1,0,2
"ENSG00000020922.14",4,5,21,1,19,24,3,24,30,8,19,6,2,3,6
"ENSG00000021300.14",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"ENSG00000021355.14",13,6,0,9,11,10,6,16,22,43,32,23,6,35,33
